YEAR,SURVEY_YEAR,TOTAL_FEMALE_BARREN_POP,CV_FEMALE_BARREN_POP,FEMALE_BARREN_POP_CI,TOTAL_FEMALE_TRACE_POP,CV_FEMALE_TRACE_POP,FEMALE_TRACE_POP_CI,TOTAL_FEMALE_QUARTER_POP,CV_FEMALE_QUARTER_POP,FEMALE_QUARTER_POP_CI,TOTAL_FEMALE_HALF_POP,CV_FEMALE_HALF_POP,FEMALE_HALF_POP_CI,TOTAL_FEMALE_THREE_QUARTER_POP,CV_FEMALE_THREE_QUARTER_POP,FEMALE_THREE_QUARTER_POP_CI,TOTAL_FEMALE_FULL_POP,CV_FEMALE_FULL_POP,FEMALE_FULL_POP_CI,TOTAL_FEMALE_IMMATURE_POP,CV_FEMALE_IMMATURE_POP,FEMALE_IMMATURE_POP_CI,TOTAL_FEMALE_MATURE_POP,CV_FEMALE_MATURE_POP,FEMALE_MATURE_POP_CI,SPECIES_CODE,SURVEY_REGION
1985,1985,2590831.446,0.244130852,1239703.701,384366.7446,0.414820259,312508.5009,482996.7724,0.45919287,434705.8009,1260486.104,0.325419258,803965.4485,1918448.534,0.228576472,859483.9064,22460495.47,0.271880245,11968867.43,26419816.2,0.168499779,8725397.068,29343788.63,0.255411186,14689674.45,68560,EBS
1986,1986,3065750.073,0.267345182,1606442.48,430956.3214,0.300432015,253767.2288,259177.7098,0.399050295,202712.8854,1061551.811,0.296779606,617491.9784,1668003.067,0.191118795,624822.0043,10108858.33,0.201061618,3983706.681,61563706.33,0.16329189,19703593.81,16940840.47,0.180926801,6007502.06,68560,EBS
1987,1987,1592683.388,0.255234646,796755.6412,432710.3666,0.356334768,302211.9066,808546.5987,0.292089805,462889.7085,500438.4473,0.293094872,287484.8476,4714331.678,0.274210373,2533728.548,18271787.58,0.165632205,5931737.072,198004663,0.226644114,87958119.24,26348846.06,0.147019209,7592621.559,68560,EBS
1988,1988,3069701.537,0.172573971,1038311.142,1233969.769,0.438699873,1061031.067,527959.4479,0.632637955,654654.0833,1475791.405,0.446167763,1290563.078,7319979.043,0.521009763,7475009.872,108901560.4,0.229243041,48931252.63,186190558.7,0.172611111,62991575.87,122528961.6,0.213855771,51358909.98,68560,EBS
1989,1989,2706087.207,0.190948643,1012778.412,821269.2787,0.324377267,522146.1256,1655949.928,0.369546279,1199422.263,2487047.764,0.276232661,1346527.492,5690400.437,0.170148729,1897700.23,87126652.76,0.164317909,28060279.99,285071689.1,0.224841468,125628036.5,101060042.8,0.151058662,29921349.9,68560,EBS
1990,1990,2793095.611,0.155048016,848805.3064,1482982.683,0.301959005,877687.9519,1261390.787,0.262091271,647975.0496,2866927.674,0.189570774,1065231.967,10003791.95,0.26172099,5131676.575,190602037.2,0.273388915,102132629,173755114.9,0.174781304,59523525.29,209010225.9,0.251440781,103005241,68560,EBS
1991,1991,5145685.669,0.289333948,2918090.242,1918633.472,0.407498609,1532407.323,925778.4512,0.333708981,605523.5441,3935726.162,0.171759825,1324959.287,19700051.89,0.29253472,11295380.38,223408159.2,0.242250727,106076746.3,125919724,0.220337837,54379964.15,255086836.9,0.228720854,114353611.3,68560,EBS
1992,1992,8001398.465,0.316689707,4966562.644,2768366.393,0.312029015,1693068.855,3537660.319,0.290095542,2011468.593,14427983.71,0.189311635,5353514.97,48664647,0.318909096,30418413.22,72800806.27,0.211742776,30213487.85,53768997.85,0.182239089,19205673.86,150903045.3,0.165367924,48910865.78,68560,EBS
1993,1993,4050007.06,0.229819072,1824306.972,997915.3508,0.222279586,434759.7744,1676499.145,0.264198179,868138.9202,7236468.307,0.201876579,2863311.989,22140284.6,0.245050795,10633968.93,28467722.27,0.1871623,10443045.4,29364736.42,0.183876144,10582970.02,67473730.7,0.148433479,19630106.79,68560,EBS
1994,1994,6305759.253,0.281399472,3477897.159,867060.215,0.279942457,475744.8554,2359293.822,0.275392513,1273474.437,3748200.155,0.239828074,1761890.304,15240005.65,0.286807182,8567048.426,27251360.5,0.263717844,14085873.25,36975599.44,0.33716941,24435400.48,56163017.76,0.210780967,23202666.63,68560,EBS
1995,1995,10583818.01,0.28886836,5992367.097,2070966.591,0.734677745,2982126.406,2631218.731,0.36062503,1859811.334,4212923.824,0.288669559,2383640.013,15620513.51,0.305138353,9342178.831,35769394.41,0.249994018,17526583.91,26261322.64,0.195007073,10037441.58,73317050.01,0.221297685,31800791.14,68560,EBS
1996,1996,7503799.925,0.227797351,3350317.664,1871993.127,0.435150056,1596611.911,2622854.666,0.347629122,1787090.101,8525593.327,0.343519526,5740267.245,12440447.93,0.370758967,9040318.942,18002881.24,0.302170515,10662282.21,33181831.88,0.176287088,11465075.9,55109124.62,0.279632466,30204188.87,68560,EBS
1997,1997,4800034.048,0.225393053,2120512.885,882513.3402,0.293529518,507725.6816,790411.0342,0.372794838,577535.8613,2182645.527,0.201271285,861035.5858,5833677.451,0.209667589,2397340.853,5526842.936,0.237290063,2570471.222,57318529.49,0.288572233,32419450.61,20099258.41,0.18965293,7471291.178,68560,EBS
1998,1998,1793436.406,0.21085554,741185.7638,393888.1103,0.346448095,267465.0994,379057.5331,0.345136528,256420.1379,1575924.635,0.224812135,694402.4845,4489288.281,0.167309497,1472157.105,4670348.757,0.219125669,2005850.86,58116693.7,0.172392195,19636974.22,13301943.72,0.162214715,4229231.187,68560,EBS
1999,1999,2902862.627,0.217060101,1234987.486,310860.3898,0.374633501,228259.0836,396343.4301,0.272577178,211746.9802,2159139.6,0.28686091,1213970.591,8768640.26,0.376331638,6467836.83,8141563.845,0.244140051,3895856.346,101027500.2,0.169899788,33642519.71,22679410.15,0.196511654,8735266.084,68560,EBS
2000,2000,1789029.531,0.223293273,782977.3874,679986.702,0.443887278,591601.3945,574726.06,0.359008765,404410.1184,2377864.613,0.25518445,1189316.382,6878779.928,0.229342535,3092089.773,9958732.19,0.486168678,9489582.382,73578680.69,0.159893946,23058979.72,22259119.02,0.27040989,11797408.4,68560,EBS
2001,2001,1979058.358,0.200619441,778193.6611,414880.4151,0.355002497,288675.8231,218873.1812,0.433304794,185884.0454,1655869.754,0.19532248,633920.0311,9170806.494,0.187304709,3366761.074,14725980.37,0.314704184,9083282.156,239460820.5,0.189075354,88741233.2,28165468.58,0.215876722,11917327.32,68560,EBS
2002,2002,1701823.467,0.236892381,790172.0672,437193.2687,0.352070086,301688.4363,899889.4858,0.480633825,847733.958,3567055.974,0.351602774,2458206.078,15322615.67,0.224433831,6740270.15,7937019.368,0.369472123,5747714.501,148016792.6,0.19111089,55443737.02,29865597.24,0.230076896,13467912.45,68560,EBS
2003,2003,1895265.405,0.200402797,744440.3151,546956.8679,0.412153183,441842.827,1231443.495,0.293976408,709550.0564,12648743.19,0.222416138,5514037.844,33686942.76,0.33165053,21897693.12,10484854.17,0.322989376,6637533.143,137387165.6,0.215157468,57937354.52,60494205.89,0.226510631,26857058.24,68560,EBS
2004,2004,855050.7208,0.268828339,450529.2558,159995.8376,0.41073806,128804.1046,253599.6562,0.315514558,156828.1917,3529832.114,0.214191334,1481876.52,13065188.07,0.20250364,5185666.347,14344752.03,0.327679527,9212943.849,178553040.9,0.128320402,44907516.17,32208418.42,0.216790798,13685677.89,68560,EBS
2005,2005,1930937.201,0.226183114,856020.9609,465342.6185,0.375110172,342127.309,1149851.399,0.669475696,1508803.228,3776727.105,0.242841292,1797604.769,33804917.76,0.273244396,18104528.52,35624133.26,0.26962348,18826001.43,255016699.6,0.193725759,96830475,76751909.34,0.201883184,30370042.87,68560,EBS
2006,2006,4723364.241,0.173097755,1602503.342,1582191.443,0.224159771,695140.795,1865167.475,0.200142868,731667.938,15169878.56,0.195879857,5824088.348,46316282.04,0.177654043,16127418.51,28683609.4,0.3421994,19238407.28,207260613.2,0.17140663,69630652.78,98340493.15,0.173631756,33467063.68,68560,EBS
2007,2007,3650202.723,0.157018368,1123371.793,1262834.104,0.214668128,531336.8564,2421322.467,0.216729303,1028552.201,10905540.41,0.17868303,3819324.617,43215136.85,0.239969567,20325822.68,20540154.3,0.219635888,8842255.871,125765310.1,0.179341144,44207593.32,81995190.85,0.166112565,26696045.66,68560,EBS
2008,2008,4187645.562,0.203714617,1672045.843,1509935.749,0.232833724,689065.3673,1267983.767,0.184815773,459313.0632,5553442.819,0.183874221,2001424.546,31972605.36,0.231361925,14498597.3,28786135.54,0.231859011,13081676.83,62377689.64,0.188056478,22991836.12,73277748.8,0.185061085,26579285.04,68560,EBS
2009,2009,4970872.545,0.250084557,2436551.383,737484.3988,0.228405767,330153.5512,852482.1304,0.23773794,397227.9976,2190560.152,0.220114516,945061.2102,14721039.76,0.174403136,5032095.165,27848023.15,0.270865366,14784407.37,95242170.47,0.205204697,38306515.79,51320462.14,0.194929378,19607576.92,68560,EBS
2010,2010,2573204.269,0.173281509,873941.8903,453744.1324,0.262979767,233878.0316,477229.6061,0.295530115,276430.0123,2085864.379,0.152727138,624393.4715,11193959.76,0.256930379,5637093.908,15730154.85,0.241227996,7437325.322,121305767.4,0.150985389,35898181.09,32514157,0.206288465,13146299.27,68560,EBS
2011,2011,4559131.648,0.290001168,2591420.869,530839.9741,0.319197921,332108.3116,740703.7456,0.313908318,455725.6113,4139964.765,0.160613361,1303269.966,12856100.97,0.190066047,4789276.247,9651956.848,0.16125591,3050612.769,246420050,0.165394142,79882608.06,32478697.95,0.135005477,8594212.141,68560,EBS
2012,2012,6129698.419,0.20675892,2484044.851,1766444.493,0.330474835,1144180.287,1093089.879,0.274464726,588028.643,8802051.89,0.287768867,4964594.731,46272784.27,0.310473995,28158332.57,13953023.61,0.235794432,6448488.741,187804176.5,0.18311992,67405744.2,78017092.56,0.24077691,36818040.32,68560,EBS
2013,2013,4854811.9,0.195105041,1856508.622,1120711.003,0.301229531,661678.8488,4029641.627,0.295590417,2334601.959,26496665.27,0.308072952,15999295.56,54380121.09,0.233107973,24845822,17892356.22,0.258215894,9055377.896,130376954.8,0.151768107,38782644.78,108774307.1,0.214796517,45794110.94,68560,EBS
2014,2014,2607816.994,0.281593379,1439314.239,961008.083,0.325918084,613891.4299,1104905.674,0.251116641,543821.9939,3358374.28,0.188454358,1240484.526,41601242.44,0.306048872,24954746.07,38721745.14,0.326313481,24765437.83,105504985.7,0.252033299,52117908.52,88355092.61,0.278536006,48235746.29,68560,EBS
2015,2015,2573206.459,0.285005559,1437421.163,2474989.953,0.560618435,2719548.986,2196733.479,0.527645485,2271829.144,6081797.782,0.323846656,3860356.955,23958970.8,0.367800967,17271779.93,35754953.41,0.26913145,18860653.6,50787627.44,0.140738679,14009655.86,73040651.88,0.270802818,38768044.12,68560,EBS
2016,2016,2384533.641,0.278734485,1302717.441,1314553.693,0.325443334,838512.9636,1776452.666,0.461480978,1606806.263,4183584.879,0.250728322,2055928.703,14620026.03,0.318196293,9117994.659,26012619.61,0.311133826,15863075.49,43557327.75,0.227988746,19463937.82,50291770.53,0.281247517,27723093.76,68560,EBS
2017,2017,4532405.369,0.249263821,2214338.771,1171918.217,0.291653531,669916.4092,1455969.512,0.313075725,893424.2726,5216681.812,0.216762395,2216329.666,13378596.16,0.241434022,6330894.64,20007827.62,0.376039044,14746499.75,106462431.5,0.220908062,46096082.48,45763398.69,0.242849913,21782729.31,68560,EBS
2018,2018,3511389.031,0.188686092,1298598.539,2050039.464,0.255764383,1027681.075,1819684.026,0.243999412,870243.5925,5699903.358,0.272486591,3044168.581,11526797.87,0.241305516,5451700.618,9186708.12,0.326403206,5877199.121,201267275.7,0.163462257,64483222.35,33794521.86,0.200634204,13289460.52,68560,EBS
2019,2019,3347012.043,0.277815499,1822509.57,1750244.649,0.288308361,989035.9252,1314390.45,0.312048167,803900.1356,3524311.056,0.231917362,1602003.89,15194773.29,0.221410324,6593988.152,11558472.34,0.4216073,9551347.17,176247331.1,0.18370828,63461064.27,36689203.82,0.241423301,17360952.22,68560,EBS
2021,2021,3285037.516,0.223252153,1437447.729,1501464.639,0.435370471,1281239,1002273.808,0.324040414,636563.3507,3407611.127,0.260425523,1739360.662,22244503.6,0.256002772,11161522.98,22823897.96,0.183577801,8212323.551,116203578.6,0.262024296,59678395.32,54264788.65,0.168519564,17923569.95,68560,EBS
2022,2022,1742703.68,0.211644329,722913.3673,402452.9043,0.308841281,243616.3783,1021485.254,0.428925004,858755.5102,3258576.69,0.328895771,2100594.9,25565099,0.347705664,17422694.27,10848220.65,0.237180945,5043062.799,130132788.1,0.213271501,54397085.61,42838538.18,0.229796694,19294542.75,68560,EBS
2023,2023,3689911.676,0.392096363,2835729.857,2599891.599,0.605327644,3084621.06,3204807.674,0.683307362,4292142.608,6440860.545,0.531475101,6709387.732,11666351.82,0.179185719,4097269.524,20900869.29,0.236699801,9696573.928,342486193.2,0.134561523,90327508.76,48502692.6,0.22950807,21818248.41,68560,EBS
